"avatarThumbnail","cid","createTime","createTimeISO","diggCount","input","likedByAuthor","pinnedByAuthor","repliesToId","replyCommentTotal","text","uid","uniqueId","videoWebUrl"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/22683d938788732005f453035d7aaa33~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d3708f6b&x-expires=1742324400&x-signature=ROaNW%2F2NGK2BQQp27iaSoHQ3phc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7472352616350237458","1739792681","2025-02-17T11:44:41.000Z","1","mujimalaysia","true","false",,"0","love Muji from Muji lover 🥰🥰🥰","7151309498921141254","mengembekkport","https://www.tiktok.com/@mujimalaysia/video/7472342433301286164"
"https://p19-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/b8c5c4e7c0ba4d488574883bdd93fb2e~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ebc35539&x-expires=1742324400&x-signature=SE2mcvy2PmpKgcApmY0k44LaY4I%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7469465449048572680","1739120474","2025-02-09T17:01:14.000Z","1","mujimalaysia","false","false",,"0","drop the hakama pants ASAP plzzz 🧎🏻","6880110277292114945","shitkeenn","https://www.tiktok.com/@mujimalaysia/video/7467976541599812880"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/7325866509451034632~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7846bd70&x-expires=1742324400&x-signature=PAdj0YZCXWpQd9s8VCSgTnZfpS8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7475198153105818376","1740455214","2025-02-25T03:46:54.000Z","0","mujimalaysia","false","false",,"0","😁","6717148908017124353","user754359209855411","https://www.tiktok.com/@mujimalaysia/video/7467976541599812880"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/7330993880613011474~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=241a388c&x-expires=1742324400&x-signature=ZSLwxr%2BGgKwyfBvUO3J5cFsXB8g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7466483440125215495","1738426154","2025-02-01T16:09:14.000Z","0","mujimalaysia","false","false",,"0","please open in Setia City Mall, Selayang Mall and Sunway Putra","6923912504889607170","ayakorose645","https://www.tiktok.com/@mujimalaysia/video/7464615921471048967"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/a00a58c5b4fb89425f8a8d690b33a0f0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3e88ddfe&x-expires=1742324400&x-signature=o1dLsjKJLYSwkxOawEvLVPa88Us%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7463261613937607442","1737676074","2025-01-23T23:47:54.000Z","0","mujimalaysia","false","false",,"0","omggg my fav shoppp","7386795894211331088","jen_jj8","https://www.tiktok.com/@mujimalaysia/video/7463052053707836693"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/5c6db63bde664df01b63a1a4236cb2e4~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=30b37732&x-expires=1742324400&x-signature=qFpJiHiypb1CPuyuzKHUmtBEEfQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7463239488484524808","1737670913","2025-01-23T22:21:53.000Z","0","mujimalaysia","false","false",,"0","Pleaseeeeee come to Ipoh Perak 😭😭","7128365794061337627","botpletrd","https://www.tiktok.com/@mujimalaysia/video/7463052053707836693"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/b6788e86f72c88822b11e79f403c40e4~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=017eaedc&x-expires=1742324400&x-signature=foXZ6gktGlkOs56wlUIV2iVPJJQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7464429421354124050","1737947935","2025-01-27T03:18:55.000Z","0","mujimalaysia","false","false",,"0","Please come to ecm kuantan please 😢😢😢","7250145816361518088","blushlattee","https://www.tiktok.com/@mujimalaysia/video/7463052053707836693"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/998f6b3999675fd4d33ce147b57d7fdc~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=79b3e44d&x-expires=1742324400&x-signature=UUsbAJN1UO26haCTI3L85uwZETI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7469654595859284743","1739164511","2025-02-10T05:15:11.000Z","0","mujimalaysia","false","false",,"0","😂","6811439135212946434","racuntiktokmrssally","https://www.tiktok.com/@mujimalaysia/video/7463052053707836693"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/5759ae7b53c878747b8346515b519a23~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0b5d16f7&x-expires=1742324400&x-signature=54rkZqFsF7mhul8C2d2RUyO%2Babg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7457824315310326535","1736410059","2025-01-09T08:07:39.000Z","0","mujimalaysia","false","false",,"0","is there any ps for muji?","105088566686367744","wisyaauwu","https://www.tiktok.com/@mujimalaysia/video/7451803775964138772"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/36a3f307f24a3822beaf550cfbec4216~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d74e2773&x-expires=1742324400&x-signature=vVg5SvXRegeNmRnHbH4i7ewbMt4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7461450556415165202","1737254359","2025-01-19T02:39:19.000Z","0","mujimalaysia","false","false",,"0","😍😍😍","7348780551316620290","skibididinda","https://www.tiktok.com/@mujimalaysia/video/7451803775964138772"
