"avatarThumbnail","cid","createTime","createTimeISO","diggCount","input","repliesToId","replyCommentTotal","text","uid","uniqueId","videoWebUrl"
"https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/bcf57dd782a82d8967b3de82dee82963~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d146622e&x-expires=1742302800&x-signature=tNDkGcxrttfwEIjpbgSujCPaFQM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7459343299456598806","1736763753","2025-01-13T10:22:33.000Z","1","uniqlo_malaysia",,"0","Love it!! 😍","7012870233770083334","annahensen1","https://www.tiktok.com/@uniqlo_malaysia/video/7458881069023005960"
"https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/efd95279eac540f6a971d78450fe67c2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=59805d1c&x-expires=1742302800&x-signature=P6Se%2FLT21hLlNcypJW2%2Bb9%2Bq8Mk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7461263990280618784","1737210921","2025-01-18T14:35:21.000Z","0","uniqlo_malaysia",,"0","nice🥰🥰","7452824434040194080","dkp7347","https://www.tiktok.com/@uniqlo_malaysia/video/7458881069023005960"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/8d984a62b8044e8c9904b16031e3aaf9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7865887c&x-expires=1742302800&x-signature=OIx9tUmktdfGPyv1GpyOUyZz5sI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7461160081859248903","1737186727","2025-01-18T07:52:07.000Z","0","uniqlo_malaysia",,"0","🥰🥰🥰","7428501660181988372","lmrriynollo","https://www.tiktok.com/@uniqlo_malaysia/video/7458881069023005960"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/63a07080c9e8477b348b70ab486bd25d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ced5dac0&x-expires=1742302800&x-signature=vs%2FzDFo8BnpmsjmLkBsVLLPkCnE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7471139237024744200","1739510176","2025-02-14T05:16:16.000Z","0","uniqlo_malaysia",,"0","🥰🥰🥰","7192217652348175362","user383724288","https://www.tiktok.com/@uniqlo_malaysia/video/7458881069023005960"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/661dc60d94ae3d55ac3bfebe2876ff75~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=827ee54c&x-expires=1742302800&x-signature=%2BVBD4nvTktUR1e67mJb%2BaZmgbsc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7471215850374447890","1739528016","2025-02-14T10:13:36.000Z","0","uniqlo_malaysia",,"0","🥰","7375008352969786369","junaidakhtar4699","https://www.tiktok.com/@uniqlo_malaysia/video/7458881069023005960"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/288985184616dc77e80530c5c1430116~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d2167788&x-expires=1742302800&x-signature=OKTA1Lbar9zjOgncrqAhtr6u3uk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7471197580434146066","1739523758","2025-02-14T09:02:38.000Z","0","uniqlo_malaysia",,"0","❤️","6969903440320709633","bimleshkumarsah2","https://www.tiktok.com/@uniqlo_malaysia/video/7458881069023005960"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/288985184616dc77e80530c5c1430116~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d2167788&x-expires=1742302800&x-signature=OKTA1Lbar9zjOgncrqAhtr6u3uk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7471197594355335954","1739523762","2025-02-14T09:02:42.000Z","0","uniqlo_malaysia",,"0","🥰","6969903440320709633","bimleshkumarsah2","https://www.tiktok.com/@uniqlo_malaysia/video/7458881069023005960"
"https://p19-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/155a71fd8badd112746c6b7351f896dd~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4ba07849&x-expires=1742302800&x-signature=uMBr%2BYvgsBPD3OAjK%2BDXj7kMTV0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7470523035050754837","1739366708","2025-02-12T13:25:08.000Z","0","uniqlo_malaysia",,"0","🥰🥰🥰🥰","7449780792522359816","mdsoyfal.shekh","https://www.tiktok.com/@uniqlo_malaysia/video/7458881069023005960"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/d7828d37668ab11032a190fb510f84af~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7c29b36c&x-expires=1742302800&x-signature=mSXCc%2Fz%2BdGx%2FOT5S%2FQD0KDJdVHA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7470462480453911317","1739352619","2025-02-12T09:30:19.000Z","0","uniqlo_malaysia",,"0","💕💕💕🥰🥰🥰","7387435300534420496","khan.arshad111","https://www.tiktok.com/@uniqlo_malaysia/video/7458881069023005960"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/9ede914fe8e108e3966e7f18bfb1e15a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b7b961d8&x-expires=1742302800&x-signature=jY9%2B2Ns5%2FUXUcwBeIj0SAb6q1s4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8","7460771402791502593","1737096225","2025-01-17T06:43:45.000Z","0","uniqlo_malaysia",,"0","❤","7226803755559388166","rajatayab90","https://www.tiktok.com/@uniqlo_malaysia/video/7458881069023005960"
